 ,Corpus,Accuracy,Recall,Precision,F1,Change
Rule-Based (medspaCy),Test set,0.253,0.275,0.763,0.404,
SVM (libSVM/WEKA),Test set,0.897,0.944,0.948,0.946,
SVM (Scikit-learn/spaCy),Test set,0.207,0.224,0.736,0.343,
Simple Voting (Threshold = 1),Test set,0.212,0.299,0.422,0.350,
Simple Voting (Threshold = 2),Test set,0.096,0.096,0.994,0.175,
Simple Voting (Threshold = 3),Test set,0.085,0.085,1.000,0.157,
Rule-Based (medspaCy),Additional,0.152,0.159,0.767,0.263,-0.141
SVM (libSVM/WEKA),Additional,0.020,0.029,0.059,0.039,-0.907
SVM (Scikit-learn/spaCy),Additional,0.121,0.122,0.959,0.216,-0.127
Simple Voting (Threshold = 1),Additional,0.195,0.226,0.591,0.327,-0.023
